"","scrubbed_genus","species","avg_petiole_width","avg_LMA","avg_LA","log_lma","log_pet_leafarea","class","superorder","order","scrubbed_family","count"
"185","Kalmia","latifolia",1.815,108.35,1318.8,4.68536672798237,-5.99230657576395,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"186","Knightia","excelsa",1.7,239.2,3127.9,5.47730002207648,-6.98686062972037,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"187","Lacmellea","panamensis",1.12,42.1,2944.5,3.74004774068834,-7.76103693177062,"Equisetopsida","Asteranae","Gentianales","Apocynaceae",5
"188","Laetia","procera",1.89,111.9,3196.3,4.71760561531788,-6.79659551167197,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"189","Laetia","thamnia",0.84,89.8,1286.9,4.49758497530815,-7.50869827878917,"Equisetopsida","Rosanae","Malpighiales","Salicaceae",9
"190","Lambertia","formosa",0.68,260.8,158,5.5637538300525,-5.83391999465094,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"191","Lasiopetalum","ferrugineum",0.83,112.3,658,4.7211738617444,-6.8618640877083,"Equisetopsida","Rosanae","Malvales","Malvaceae",9
"192","Ledum","groenlandicum",1.59,125.5,1190.9,4.83230575857184,-6.15499657030967,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"193","Leptospermum","continentale",0.9,244.5,34.4,5.49921530891493,-3.74877759569501,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"194","Leptospermum","glaucescens",0.52,197,24.4,5.28320372873799,-4.50243606711248,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"195","Leptospermum","nitidum",1.05,153,43,5.03043792139244,-3.6636197873547,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"196","Leucadendron","sp",1.6,208.5,148.6,5.33993904123886,-4.06125087379219,"Equisetopsida","Proteanae","Proteales","Proteaceae",25
"197","Leucopogon","sp",0.5,101.6,37.4,4.62104353514438,-5.00796506554038,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"198","Leucopogon","sp",0.7,132.7,23.4,4.88809094133816,-3.86608591024112,"Equisetopsida","Asteranae","Ericales","Ericaceae",25
"199","Lindera","benzoin",0.835,28.2,2915.55,3.33932197794407,-8.33846086849475,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"200","Litsea","calicaris",1.38,124.4,2154.3,4.82350218030508,-7.03105412544615,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"201","Lonchocarpus","latifolius",1.36,54.9,2707.1,4.00551334851548,-7.28866383069946,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
